nombre,categoria,precio,stock,dimensiones,marca,envio,proveedor
PC,informatica,253,,,,,
Tablet,Electro,123,,,,,
Celular,Electro,212,,,,,
Parlante,Audio,105,,,,,
PC Gamer,Informatica,323.3,10,"{""alto"":32,""ancho"":33,""profundidad"":44}",,,
Notebook Gamer,Informatica,555.4,10,"{""alto"":10,""ancho"":20,""profundidad"":39}",,,
Monitor Samsung,Informatica,334.4,4,"{""alto"":25,""ancho"":40,""profundidad"":5}",,,
Camiseta Deportiva Hombre,Ropa,29.99,120,"{""ancho"":""40 cm"",""alto"":""60 cm"",""peso"":""200 g""}","{""nombre"":""SportMax"",""pais"":""España"",""añoCreacion"":2010}","{""disponible"":true,""tiempoEstimado"":""2-4 días"",""costo"":4.99}","{""nombre"":""Textiles Europa"",""contacto"":""info@textiles.com"",""telefono"":""+34 600 123 456""}"
Auriculares Inalámbricos Pro,Electrónica,89.99,75,"{""ancho"":""8 cm"",""alto"":""6 cm"",""peso"":""150 g""}","{""nombre"":""AudioWave"",""pais"":""Alemania"",""añoCreacion"":2015}","{""disponible"":true,""tiempoEstimado"":""1-3 días"",""costo"":3.5}","{""nombre"":""TechImport GmbH"",""contacto"":""ventas@techimport.de"",""telefono"":""+49 152 222 333""}"
Silla Ergonómica Oficina,Muebles,149.99,40,"{""ancho"":""70 cm"",""alto"":""120 cm"",""peso"":""12 kg""}","{""nombre"":""ComfortSeat"",""pais"":""Italia"",""añoCreacion"":2008}","{""disponible"":true,""tiempoEstimado"":""5-7 días"",""costo"":9.99}","{""nombre"":""Muebles Italia SRL"",""contacto"":""info@mueblesitalia.it"",""telefono"":""+39 333 999 888""}"
Reloj Inteligente X10,Tecnología,129.99,90,"{""ancho"":""4.2 cm"",""alto"":""4.5 cm"",""peso"":""50 g""}","{""nombre"":""TimeTech"",""pais"":""Corea del Sur"",""añoCreacion"":2018}","{""disponible"":true,""tiempoEstimado"":""3-5 días"",""costo"":5.99}","{""nombre"":""AsiaSmart Co."",""contacto"":""contact@asiasmart.kr"",""telefono"":""+82 10 3456 7890""}"
Cafetera Espresso Automática,Electrodomésticos,259.99,30,"{""ancho"":""22 cm"",""alto"":""32 cm"",""peso"":""4.5 kg""}","{""nombre"":""CaféMaster"",""pais"":""Suiza"",""añoCreacion"":2005}","{""disponible"":true,""tiempoEstimado"":""4-6 días"",""costo"":7.99}","{""nombre"":""SwissCoffee SA"",""contacto"":""orders@swisscoffee.ch"",""telefono"":""+41 79 888 7777""}"
Mochila Antirrobo Urban,Accesorios,49.99,85,"{""ancho"":""30 cm"",""alto"":""45 cm"",""peso"":""900 g""}","{""nombre"":""UrbanPack"",""pais"":""España"",""añoCreacion"":2019}","{""disponible"":true,""tiempoEstimado"":""2-3 días"",""costo"":4.5}","{""nombre"":""TravelGear SL"",""contacto"":""contact@travelgear.es"",""telefono"":""+34 612 456 789""}"
Set de Sartenes Antiadherentes 3 Piezas,Hogar,79.99,55,"{""ancho"":""28 cm"",""alto"":""10 cm"",""peso"":""3 kg""}","{""nombre"":""CookPro"",""pais"":""Portugal"",""añoCreacion"":2003}","{""disponible"":true,""tiempoEstimado"":""3-5 días"",""costo"":6.99}","{""nombre"":""IberCook SA"",""contacto"":""ventas@ibercook.pt"",""telefono"":""+351 912 333 444""}"
Lámpara LED de Escritorio,Iluminación,34.99,150,"{""ancho"":""15 cm"",""alto"":""40 cm"",""peso"":""500 g""}","{""nombre"":""BrightHome"",""pais"":""China"",""añoCreacion"":2017}","{""disponible"":true,""tiempoEstimado"":""2-4 días"",""costo"":3.99}","{""nombre"":""Shenzhen Light Co."",""contacto"":""info@lightco.cn"",""telefono"":""+86 755 8888 6666""}"
Zapatillas Running Mujer,Calzado,69.99,110,"{""ancho"":""10 cm"",""alto"":""12 cm"",""peso"":""700 g""}","{""nombre"":""RunFast"",""pais"":""EE.UU."",""añoCreacion"":2012}","{""disponible"":true,""tiempoEstimado"":""3-6 días"",""costo"":4.99}","{""nombre"":""USA Sport Distributors"",""contacto"":""sales@usasport.com"",""telefono"":""+1 305 222 4444""}"
Tablet 10'' Pro,Tecnología,299.99,50,"{""ancho"":""25 cm"",""alto"":""17 cm"",""peso"":""600 g""}","{""nombre"":""TechTab"",""pais"":""Japón"",""añoCreacion"":2016}","{""disponible"":true,""tiempoEstimado"":""2-5 días"",""costo"":6.99}","{""nombre"":""Nippon Electronics"",""contacto"":""support@nippontech.jp"",""telefono"":""+81 90 1234 5678""}"
